N, Naive, Cache, Blocking, SIMD
64, 0.838861, 5.242889, 4.854502, 17.476134
128, 0.739475, 8.081511, 6.364648, 22.192107
192, 1.148169, 13.254469, 11.670057, 42.766700
256, 1.494829, 21.634064, 19.645452, 69.905077
320, 2.111204, 28.593365, 25.362228, 103.532397
384, 2.470359, 28.583092, 26.502742, 105.443417
448, 2.463807, 28.846773, 26.812402, 106.220186
512, 2.418948, 28.935588, 27.874918, 75.936487
576, 2.399932, 28.769737, 25.972136, 109.232914
640, 2.379860, 28.649617, 25.290049, 108.999588
704, 2.359302, 28.673515, 25.513778, 109.755793
768, 2.343465, 29.008666, 24.886542, 101.840113
832, 2.295554, 29.685602, 24.626616, 111.119116
896, 2.309042, 28.872825, 23.748267, 110.546049
960, 2.261422, 28.438958, 23.101061, 109.463159
1024, 1.956500, 28.893543, 24.692235, 67.089995
2048, 1.838851, 27.500727, 19.935909, 56.992477
3072, 1.209962, 28.975991, 18.460409, 70.452846
4096, 0.632586, 28.749882, 10.889329, 54.461918
5120, 0.732270, 28.743743, 20.321736, 67.454535
